player_name,roster_source,draft_team,final_team,position,pro_team,games_played,actual_total_points,projected_total_points,projection_difference,projection_percentile,percent_above_projection,projection_status
Aaron Gordon,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,PF,DEN,36.0,1052.0,0.0,1052.0,13.89,,Below Projection
Kristaps Porzingis,Both,SKAVALASSKKYYYY,SKAVALASSKKYYYY,C,GSW,32.0,991.0,0.0,991.0,13.33,,Below Projection
Anthony Davis,Draft,Kat's Kittens,,C,WAS,20.0,870.0,0.0,870.0,12.78,,Below Projection
Jalen Green,Both,Poole Party,ybgcorp,SG,PHO,32.0,859.0,0.0,859.0,12.22,,Below Projection
Justin Edwards,Final,,ybgcorp,SF,PHL,64.0,855.0,0.0,855.0,11.67,,Below Projection
Jordan Poole,Draft,YSK FC,,SG,NOP,39.0,815.0,0.0,815.0,11.11,,Below Projection
Kobe Brown,Final,,Hawk Tuah Demure,PF,IND,61.0,755.0,0.0,755.0,10.56,,Below Projection
Cam Thomas,Draft,Jeremy Lin fan club,,SG,FA,42.0,695.0,0.0,695.0,10.0,,Far Below Projection
Ja Morant,Draft,Hawk Tuah Demure,,PG,MEM,20.0,688.0,0.0,688.0,9.44,,Far Below Projection
Keegan Murray,Draft,Hawk Tuah Demure,,PF,SAC,23.0,687.0,0.0,687.0,8.89,,Far Below Projection
Jayson Tatum,Final,,Phantom Troupe,PF,BOS,16.0,682.0,0.0,682.0,8.33,,Far Below Projection
Domantas Sabonis,Draft,Jeremy Lin fan club,,C,SAC,19.0,662.0,0.0,662.0,7.78,,Far Below Projection
Jaden Ivey,Draft,ybgcorp,,SG,FA,37.0,622.0,0.0,622.0,7.22,,Far Below Projection
Ty Jerome,Both,Phantom Troupe,ybgcorp,PG,MEM,15.0,557.0,0.0,557.0,6.67,,Far Below Projection
Obi Toppin,Draft,YSK FC,,PF,IND,24.0,525.0,0.0,525.0,6.11,,Far Below Projection
Trae Young,Both,ybgcorp,ybgcorp,PG,WAS,15.0,516.0,0.0,516.0,5.56,,Far Below Projection
Dejounte Murray,Final,,Poole Party,SG,NOP,14.0,504.0,0.0,504.0,5.0,,Far Below Projection
D'Angelo Russell,Draft,Poole Party,,PG,WAS,26.0,463.0,0.0,463.0,4.44,,Far Below Projection
Cameron Payne,Final,,ybgcorp,PG,FA,22.0,417.0,0.0,417.0,3.89,,Far Below Projection
Cam Whitmore,Draft,Kat's Kittens,,SF,WAS,21.0,330.0,0.0,330.0,3.33,,Far Below Projection
Bronny James,Draft,Jeremy Lin fan club,,PG,LAL,42.0,289.0,0.0,289.0,2.78,,Far Below Projection
Scotty Pippen Jr.,Draft,Kat's Kittens,,PG,MEM,10.0,263.0,0.0,263.0,2.22,,Far Below Projection
Walker Kessler,Draft,Hawk Tuah Demure,,C,UTA,5.0,203.0,0.0,203.0,1.67,,Far Below Projection
Chris Paul,Draft,SKAVALASSKKYYYY,,PG,FA,16.0,182.0,0.0,182.0,1.11,,Far Below Projection
Bradley Beal,Draft,Goat's,,SF,LAC,6.0,61.0,0.0,61.0,0.56,,Far Below Projection
Kyrie Irving,Draft,ybgcorp,,PG,DAL,0.0,0.0,0.0,0.0,0.0,,Far Below Projection
