week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,7,Goat's,1,YSK FC,4278104,Michael Porter Jr.,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",34.0,True,BKN,OUT,True
1,7,Goat's,1,YSK FC,3138196,Cameron Johnson,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",36.0,True,DEN,ACTIVE,False
1,7,Goat's,1,YSK FC,6430,Jimmy Butler III,SF,PG,"['SG', 'SF', 'PF', 'G', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",118.0,True,GSW,OUT,True
1,7,Goat's,1,YSK FC,3032977,Giannis Antetokounmpo,PF,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",213.0,True,MIL,OUT,True
1,7,Goat's,1,YSK FC,4397020,Luguentz Dort,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",47.0,True,OKC,ACTIVE,False
1,1,YSK FC,7,Goat's,4871144,Alperen Sengun,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",105.0,True,HOU,ACTIVE,False
1,1,YSK FC,7,Goat's,4395712,Andrew Nembhard,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",4.0,True,IND,OUT,True
1,1,YSK FC,7,Goat's,4277956,Jordan Poole,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",54.0,True,NOP,ACTIVE,False
1,1,YSK FC,7,Goat's,4277961,Jaren Jackson Jr.,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",88.0,True,UTA,OUT,True
1,1,YSK FC,7,Goat's,3133603,Kelly Oubre Jr.,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",16.0,True,PHL,ACTIVE,False
1,1,YSK FC,7,Goat's,4066354,Payton Pritchard,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",86.0,True,BOS,ACTIVE,False
1,1,YSK FC,7,Goat's,4278355,Obi Toppin,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",49.0,True,IND,ACTIVE,False
1,1,YSK FC,7,Goat's,4278073,Shai Gilgeous-Alexander,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",192.0,True,OKC,ACTIVE,False
