season_year,week,team_id,team_name,actual_points,optimal_points,points_left,efficiency,management_misses
2026,18,6,Jeremy Lin fan club,1176.0,1176.0,0.0,1.0,0
2026,18,7,Goat's,1340.0,1340.0,0.0,1.0,0
2026,18,8,Hawk Tuah Demure,1096.0,1096.0,0.0,1.0,0
2026,18,9,ybgcorp,1091.0,1091.0,0.0,1.0,0
2026,18,10,Van Der Linde Gang,1050.0,1050.0,0.0,1.0,0
2026,19,1,YSK FC,1013.0,1013.0,0.0,1.0,0
2026,19,2,Phantom Troupe,1104.0,1104.0,0.0,1.0,0
2026,19,3,Kat's Kittens,1337.0,1337.0,0.0,1.0,0
2026,19,4,SKAVALASSKKYYYY,1236.0,1236.0,0.0,1.0,0
2026,19,5,Poole Party,1278.0,1278.0,0.0,1.0,0
2026,19,6,Jeremy Lin fan club,1381.0,1381.0,0.0,1.0,0
2026,19,7,Goat's,1587.0,1587.0,0.0,1.0,0
2026,19,8,Hawk Tuah Demure,1212.0,1212.0,0.0,1.0,0
2026,19,9,ybgcorp,1135.0,1135.0,0.0,1.0,0
2026,19,10,Van Der Linde Gang,1391.0,1391.0,0.0,1.0,0
2026,20,1,YSK FC,1032.0,1032.0,0.0,1.0,0
2026,20,2,Phantom Troupe,1566.0,1566.0,0.0,1.0,0
2026,20,3,Kat's Kittens,1538.0,1538.0,0.0,1.0,0
2026,20,4,SKAVALASSKKYYYY,1353.0,1353.0,0.0,1.0,0
2026,20,5,Poole Party,1144.0,1144.0,0.0,1.0,0
2026,20,6,Jeremy Lin fan club,1137.0,1137.0,0.0,1.0,0
2026,20,7,Goat's,1478.0,1478.0,0.0,1.0,0
2026,20,8,Hawk Tuah Demure,1601.0,1601.0,0.0,1.0,0
2026,20,9,ybgcorp,1364.0,1364.0,0.0,1.0,0
2026,20,10,Van Der Linde Gang,1014.0,1014.0,0.0,1.0,0
2026,21,1,YSK FC,2819.0,2819.0,0.0,1.0,0
